split,image_relative_path,label_relative_path,image_width,image_height,image_size_bytes,label_size_bytes,box_count,image_sha256,label_sha256
train,datasets/uae_lp_v2_yolo/images/train/1-11071_jpg.rf.0YPT0TpQ6mD1niIxGu93.jpg,datasets/uae_lp_v2_yolo/labels/train/1-11071_jpg.rf.0YPT0TpQ6mD1niIxGu93.txt,1440,1280,177971,38,1,880d659d9af88b2ea89ef896bfb6c3508cd712e8c1775942a05190e3ea34f55c,80b1c64ed19e5d6f162ad7e11a820b9b50c89504fb199fd8c8645e0042fb1424
train,datasets/uae_lp_v2_yolo/images/train/1-114_jpg.rf.WltDkDTbb0eF4NZIMKLH.jpg,datasets/uae_lp_v2_yolo/labels/train/1-114_jpg.rf.WltDkDTbb0eF4NZIMKLH.txt,1440,1280,166193,38,1,7de9f3a0693e2f9b5604963bba75081f4021a2ef54d17c770d2b04e65ce2da15,7f21aecbeb82999ec07d6863347b842cee61373c0666875ef8f6bf7b00bcc3a8
train,datasets/uae_lp_v2_yolo/images/train/1-13548_jpg.rf.sRttjB5ZOcflkVnE0oUM.jpg,datasets/uae_lp_v2_yolo/labels/train/1-13548_jpg.rf.sRttjB5ZOcflkVnE0oUM.txt,1440,1280,147669,76,2,6243eba043bb6f6f62ceee2c9f66d1692d0465d6b371568996f800dfb8984407,59998ec53440bbccdc4485a9825822af349dc558758b60fb2974b4ba0a933290
train,datasets/uae_lp_v2_yolo/images/train/1-150_jpg.rf.TUKqCxbrJ9xCCqmmlxCY.jpg,datasets/uae_lp_v2_yolo/labels/train/1-150_jpg.rf.TUKqCxbrJ9xCCqmmlxCY.txt,1440,1280,188217,38,1,d1c48039854ebb22e3b2f4f0d207b912fd3f64afc8603aa7af61394de4cf1528,8080b942dfd70c6603d8f134a2d0588eeed8585670cf7670b4361cf6547cd19b
train,datasets/uae_lp_v2_yolo/images/train/1-15242_jpg.rf.EiQNfr5QzmLi50qFFqlu.jpg,datasets/uae_lp_v2_yolo/labels/train/1-15242_jpg.rf.EiQNfr5QzmLi50qFFqlu.txt,1440,1280,178109,76,2,e24a350e253dfd3d5915e2b312d53101fdebe2e5a66902418ead2a731238c995,b5d811b41e54b4a08d892487cb3c831f0d6181c6423051d7139d907f8964835b
train,datasets/uae_lp_v2_yolo/images/train/1-16945_jpg.rf.WO8l27FqtFWh3X2PvwhK.jpg,datasets/uae_lp_v2_yolo/labels/train/1-16945_jpg.rf.WO8l27FqtFWh3X2PvwhK.txt,1440,1280,154973,38,1,94e4bd030bfac9da8ac0459dc1c7fa3545bc5700d0dca6689bd99124925b2e39,c4dbe93f11b331e02560e6912d6865b4912d5330fd8e457d5d996e60e0120de1
train,datasets/uae_lp_v2_yolo/images/train/1-17106_jpg.rf.lT6VUCTatgVDWgSNcxHe.jpg,datasets/uae_lp_v2_yolo/labels/train/1-17106_jpg.rf.lT6VUCTatgVDWgSNcxHe.txt,1440,1280,134176,38,1,a34ce014737d87d513a2b65d50de0338e28512f55a12b74641296b893507ad4e,38f99c9f24844286749ff0fc822cf09c25b71b58304639588084b6d79c8e8d40
train,datasets/uae_lp_v2_yolo/images/train/1-19414_jpg.rf.Ejk43woaWLgMztTHfcMI.jpg,datasets/uae_lp_v2_yolo/labels/train/1-19414_jpg.rf.Ejk43woaWLgMztTHfcMI.txt,1440,1280,150048,38,1,7e238b0c90e340abddf8e23cbf29fddc2fe7525dcb47eaad01a9cbdf9ef4d98c,b563dccd35e0d9f15ae65055ef5bae1a907d5723c5752da635dea8ce348aa7f3
train,datasets/uae_lp_v2_yolo/images/train/1-20202_jpg.rf.CFJbpyypYYIAisg2A0xg.jpg,datasets/uae_lp_v2_yolo/labels/train/1-20202_jpg.rf.CFJbpyypYYIAisg2A0xg.txt,1440,1280,166523,38,1,7b5252711f205ed023effadf2594571232549b2631c065feab42a18233da3853,cba66752660d76d75e8753f7c3094953e10c6dc9110bfd46f3dafc00c35addac
train,datasets/uae_lp_v2_yolo/images/train/1-203_jpg.rf.S6Ce4tgum85YXveTGPhz.jpg,datasets/uae_lp_v2_yolo/labels/train/1-203_jpg.rf.S6Ce4tgum85YXveTGPhz.txt,1440,1280,158299,38,1,da922dca596bacf7565c39b81cc45ed1ace5dffac9ae3d40bc0094a6e3f56def,c1eed95e5527126ec8d2023e65c1556ec68a6e4c9caf73a468b1078000009de2
