epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,2275.63,0.65904,1.10614,0.19858,0.12882,0.64787,0.16982,0.12644,0.17421,1.47058,0.0469,9.99407e-05,9.99407e-05,0.000159288
2,5068.47,0.29288,0.64625,0.07101,0.96465,0.97246,0.98589,0.74072,0.2451,0.37256,0.06655,9.93906e-05,9.93906e-05,9.93906e-05
3,7862.71,0.26818,0.38477,0.06403,0.96711,0.98336,0.98825,0.81762,0.18384,0.32597,0.0476,9.75773e-05,9.75773e-05,9.75773e-05
4,10657,0.2491,0.35702,0.05886,0.96206,0.98689,0.98588,0.73553,0.2456,0.37326,0.06358,9.46048e-05,9.46048e-05,9.46048e-05
5,13449.1,0.2398,0.35359,0.05674,0.97659,0.98492,0.9894,0.83523,0.17237,0.32393,0.04662,9.05463e-05,9.05463e-05,9.05463e-05
6,16242.7,0.23202,0.34199,0.05389,0.96737,0.99145,0.98495,0.80244,0.19354,0.32389,0.0527,8.55018e-05,8.55018e-05,8.55018e-05
7,19036.9,0.21978,0.3249,0.05019,0.97859,0.98951,0.99334,0.84673,0.16539,0.29514,0.04273,7.95954e-05,7.95954e-05,7.95954e-05
8,21831.2,0.21415,0.32333,0.04947,0.98348,0.9882,0.99117,0.84749,0.16587,0.29985,0.04348,7.29725e-05,7.29725e-05,7.29725e-05
9,29163.5,0.20586,0.31086,0.04726,0.98247,0.98623,0.99354,0.85629,0.15957,0.28627,0.04176,6.57963e-05,6.57963e-05,6.57963e-05
10,29718.7,0.20416,0.31049,0.04671,0.98318,0.99279,0.99244,0.84598,0.16718,0.28981,0.04462,5.82435e-05,5.82435e-05,5.82435e-05
11,30307.1,0.19678,0.30037,0.0445,0.98329,0.99082,0.99321,0.85712,0.15736,0.28246,0.04258,5.05e-05,5.05e-05,5.05e-05
12,30872.1,0.19056,0.2936,0.04294,0.978,0.99123,0.99377,0.85768,0.15768,0.28563,0.04225,4.27565e-05,4.27565e-05,4.27565e-05
13,31438.2,0.18642,0.28783,0.04216,0.98394,0.99082,0.99144,0.86077,0.15346,0.27744,0.04029,3.52037e-05,3.52037e-05,3.52037e-05
14,32003.9,0.18172,0.28294,0.041,0.98309,0.99475,0.99412,0.8538,0.1615,0.28401,0.043,2.80275e-05,2.80275e-05,2.80275e-05
15,32571.3,0.17846,0.27574,0.03948,0.97921,0.99344,0.9925,0.85663,0.15562,0.27834,0.04165,2.14046e-05,2.14046e-05,2.14046e-05
16,33138.5,0.17304,0.27127,0.03813,0.98269,0.99344,0.99387,0.86299,0.15322,0.27801,0.04096,1.54982e-05,1.54982e-05,1.54982e-05
17,33716.8,0.16672,0.2658,0.03667,0.98211,0.99475,0.99484,0.86596,0.15007,0.27316,0.03941,1.04537e-05,1.04537e-05,1.04537e-05
18,34287.1,0.16428,0.26122,0.03583,0.98159,0.99475,0.99413,0.86126,0.15222,0.27562,0.04002,6.39518e-06,6.39518e-06,6.39518e-06
19,34868.2,0.16334,0.25934,0.03576,0.98194,0.9941,0.99461,0.86466,0.15102,0.27372,0.03991,3.4227e-06,3.4227e-06,3.4227e-06
20,35468.3,0.15979,0.25816,0.03506,0.97996,0.9941,0.99362,0.86279,0.15114,0.27465,0.0399,1.60943e-06,1.60943e-06,1.60943e-06
