epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.7234,1.04156,1.37161,0.97008,0.94721,0.92918,0.97853,0.74871,0.84967,0.78759,0.90297,0.000665876,0.000665876,0.000665876
2,156.433,0.966,0.73574,0.94036,0.97064,0.95393,0.98791,0.7774,0.7794,0.6098,0.89445,0.00126658,0.00126658,0.00126658
3,232.951,0.95898,0.6645,0.94008,0.98183,0.95658,0.99085,0.77052,0.83392,0.56213,0.92155,0.00180129,0.00180129,0.00180129
4,309.501,0.91,0.61352,0.92444,0.97366,0.97705,0.9918,0.77152,0.7673,0.51224,0.89781,0.001703,0.001703,0.001703
5,388.8,0.87309,0.57591,0.91499,0.98163,0.98092,0.99343,0.79618,0.76414,0.4968,0.88425,0.001604,0.001604,0.001604
6,470.424,0.84113,0.54283,0.9054,0.98164,0.98191,0.99168,0.82236,0.65276,0.42138,0.85471,0.001505,0.001505,0.001505
7,550.031,0.81691,0.52434,0.89561,0.98388,0.97836,0.9941,0.81051,0.67933,0.43,0.8628,0.001406,0.001406,0.001406
8,631.107,0.79991,0.50228,0.89099,0.98422,0.98176,0.99355,0.80642,0.69317,0.4231,0.86688,0.001307,0.001307,0.001307
9,711.514,0.78151,0.48474,0.88686,0.98812,0.98182,0.99432,0.82016,0.66982,0.38831,0.8555,0.001208,0.001208,0.001208
10,791.047,0.76061,0.46378,0.87871,0.98754,0.98426,0.99411,0.83081,0.63073,0.36936,0.8483,0.001109,0.001109,0.001109
11,886.88,0.72236,0.42628,0.8642,0.97754,0.98557,0.99406,0.8401,0.61692,0.378,0.84932,0.00101,0.00101,0.00101
12,963.165,0.69826,0.40808,0.85832,0.98949,0.98771,0.99477,0.8399,0.62844,0.37577,0.85175,0.000911,0.000911,0.000911
13,1039.46,0.67094,0.39282,0.85035,0.99132,0.98754,0.99478,0.83901,0.61257,0.35086,0.84402,0.000812,0.000812,0.000812
14,1118.07,0.65969,0.38152,0.84685,0.99213,0.98951,0.99482,0.84782,0.5954,0.34311,0.84242,0.000713,0.000713,0.000713
15,1196.82,0.64037,0.36817,0.8444,0.98647,0.98689,0.99462,0.85033,0.57424,0.33532,0.83226,0.000614,0.000614,0.000614
16,1276.25,0.63131,0.3563,0.84007,0.98692,0.98963,0.99472,0.84097,0.61911,0.32945,0.84207,0.000515,0.000515,0.000515
17,1356.52,0.61449,0.34572,0.83617,0.98904,0.9882,0.99472,0.8553,0.57193,0.32096,0.83407,0.000416,0.000416,0.000416
18,1431.2,0.59602,0.33254,0.83195,0.99017,0.99076,0.99485,0.86407,0.55097,0.30104,0.82798,0.000317,0.000317,0.000317
19,1507.27,0.5822,0.32028,0.82901,0.99123,0.9882,0.99477,0.86432,0.54358,0.29883,0.82517,0.000218,0.000218,0.000218
20,1582.87,0.56789,0.30885,0.82688,0.99386,0.9882,0.99483,0.86856,0.53471,0.2905,0.82351,0.000119,0.000119,0.000119
